,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
0,1,-0.363527,22.32896,8419.56539,651879,8419.567024,8419.563761,0,23111,single_coarse_guppi_59046_80036_DIAG_VOYAGER-1_0011.rawspec.0000.h5,VOYAGER-1,59046.926342592589,17h12m40.481s,12d24m13.614s,18.253611,-2.793968,VOYAGER-1_0,on_table_1,0,0,0.0
1,2,-0.35396,192.893808,8419.542731,659989,8419.544365,8419.541102,0,23111,single_coarse_guppi_59046_80036_DIAG_VOYAGER-1_0011.rawspec.0000.h5,VOYAGER-1,59046.926342592589,17h12m40.481s,12d24m13.614s,18.253611,-2.793968,VOYAGER-1_1,on_table_1,0,0,0.0
2,3,-0.363527,22.572284,8419.520396,667983,8419.52203,8419.518767,0,23111,single_coarse_guppi_59046_80036_DIAG_VOYAGER-1_0011.rawspec.0000.h5,VOYAGER-1,59046.926342592589,17h12m40.481s,12d24m13.614s,18.253611,-2.793968,VOYAGER-1_2,on_table_1,0,0,0.0
